Description,Drawing No.,Qty,UOM,Unit,Barath,,Devi,,
,,,,,Rate,Amount,Rate,Amount,

"Cane Carrier Chain 6"" Pitch",KSC-03-004A,975,Feet,KKS,1895,1847625,2405,2344875,
Cane Carrier Slats ,KSC-03-005A,200,Nos.,KKS,1950,390000,2160,432000,
Roller design Chain,KSC-05-022A,175,Feet,KKS,1995,349125,2471,432425,
Inter Carrier Slats ,KSC-06-073,100,Nos.,KKS,1030,103000,1080,108000,
"Inter Carrier Chain 2.97"" pitch",KSC-06-074,100,Feet,KKS,1395,139500,0,0,
Rake Carrier Chain 150 mm pitch,KSC-06-081,200,Feet,KKS,2025,405000,2161,432200,
Inter Chain Link Part No.1,KSC-971C,150,Nos.,KKC,165,24750,185,27750,
Bush Part No.5,KSC-971C,1500,Nos.,KKC,98,147000,121,181500,
Roller for RBC Chain,KSC-971C,150,Nos.,KKC,154,23100,245,36750,
Outer Chain Link 10 mm Thk. Part No.2,KSC-971C,720,Nos.,KKC,165,118800,185,133200,
Outer Chain Link with attachment P.No.3A,KSC-971C,360,Nos.,KKC,280,100800,247,88920,
Outer Chain Link without attachment P.No.3B,KSC-971C,360,Nos.,KKC,165,59400,185,66600,
Bagasse Carrier Pin Part No.7,KSC-971C,1400,Nos.,KKC,89,124600,118,165200,
Attachment Pin PT.No.8,KSC-971C,360,Nos.,KKC,40,14400,48,17280,
Swivel attachment Part No.4,KSC-971C,150,Nos.,KKC,270,40500,188,28200,
"Bagasse Carrier Chain with Swivel attachment as per Drawing No. Pitch 6"" assembled in 4Ft. L",KSC-971C,400,Feet,KKC,
(Return Bagasse Carrier Slat Drawing No.),KSC-1149A,50,Nos.,KKC,
Pin for Auxiliary Cane Carrier Chain,KSCL-MH-196,750,Nos.,KSS,158,118500,249,186750,
Bush for Auxiliary Cane Carrier Chain,KSCL-MH-196,750,Nos.,KSS,95,71250,134,100500,
Roller for Auxillary Cane Carrier Chain ,KSCL-MH-196,750,Nos.,KSS,225,168750,357,267750,
Auxiliary Cane Carrier Slat,KSCL-MH-030,10,Nos.,KSS,15500,155000,9900,99000,
Pin for Cane Carrier Chain ,KSCL-MH-028/8,2750,Nos.,KSS,98,269500,116,319000,
Bush for Cane Carrier Chain ,KSCL-MH-028-B,2750,Nos.,KSS,85,233750,98,269500,
Roller for Cane Carrier Chain,KSCL-MH-028-B,2750,Nos.,KSS,154,423500,245,673750,
Inner Link for Cane Carrier Chain ,KSCL-MH-028-B,1400,Nos.,KSS,319,446600,359,502600,
Cane Carrier Slat ,KSCL-MH-071,300,Nos.,KSS,2150,645000,2400,720000,
Inner Link 1 for Feeder Table,KSCL-MH-207,950,Nos.,KSS,207,196650,438,416100,
Inner 2 for Feeder Table Chain,KSCL-MH-207,950,Nos.,KSS,325,308750,214,203300,
Outer Link 1 Feeder table chain ,KSCL-MH-207,600,Nos.,KSS,207,124200,214,128400,
Outer Link 2 Feeder table Chain,KSCL-MH-207,600,Nos.,KSS,207,124200,214,128400,
Pin for Feeder Table Chain ,KSCL-MH-128,2000,Nos.,KSS,89,178000,116,232000,
Bush for Feeder table chain,KSCL-MH-128,2000,Nos.,KSS,65,130000,98,196000,
Roller for Feeder Table Chain,KSCL-MH-128,2000,Nos.,KSS,154,308000,245,490000,
Inter Rack Carrier Chain 229 mm pitch forged stlle,KSCL-MH-014-Rev-02,160,Mtrs.,KSS,7195,1151200,7106,1136960,
Inner Link for Bagasse Elevator Chain ,KSCL-MH-058,600,Nos.,KSS,215,129000,221,132600,
MH Bagasse Elevator Slat ,KSCL-MH-023,64,Nos.,KSS,2970,190080,3600,230400,
Cotter Pin for Boiler Slat conveyor Chain,KSCL-BLR-206/A Rev. 02,350,Nos.,KSC,40,14000,49,17150,
Bush for Boiler Slat Conveyor Chain,KSCL-BLR-206/A Rev. 02,1100,Nos.,KSC,65,71500,73,80300,
Roller for Boiler Slat Conveyor Chain,KSCL-BLR-206/A Rev. 02,1100,Nos.,KSC,154,169400,245,269500,
Connection Pin for Boiler Slat Conveyor Chain,KSCL-BLR-206/A Rev. 02,1100,Nos.,KSC,89,97900,93,102300,
Inner Link for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,400,Nos.,KSC,215,86000,221,88400,
Outer Link No.01 for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,250,Nos.,KSC,215,53750,221,55250,
Outer Link No.02 for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,250,Nos.,KSC,215,53750,221,55250,
Outer Link No.03 for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,200,Nos.,KSC,350,70000,287,57400,
 , , , , , , , ,
