Description,Drawing No.,Qty,UOM,Unit,,
,,,,,Rate,Amount
Kattur Sugar unit,,,,,,
,,,,,,
"Cane Carrier Chain 6"" Pitch",KSC-03-004A,975,Feet,KKS,,
Cane Carrier Slats ,KSC-03-005A,200,Nos.,KKS,,
Roller design Chain,KSC-05-022A,175,Feet,KKS,,
Inter Carrier Slats ,KSC-06-073,100,Nos.,KKS,,
"Inter Carrier Chain 2.97"" pitch",KSC-06-074,100,Feet,KKS,,
Rake Carrier Chain 150 mm pitch,KSC-06-081,200,Feet,KKS,,
,,,,,,
Kattur Co-Gen unit,,,,,,
,,,,,,
Inter Chain Link Part No.1,KSC-971C,150,Nos.,KKC,,
Bush Part No.5,KSC-971C,1500,Nos.,KKC,,
Roller for RBC Chain,KSC-971C,150,Nos.,KKC,,
Outer Chain Link 10 mm Thk. Part No.2,KSC-971C,720,Nos.,KKC,,
Outer Chain Link with attachment P.No.3A,KSC-971C,360,Nos.,KKC,,
Outer Chain Link without attachment P.No.3B,KSC-971C,360,Nos.,KKC,,
Bagasse Carrier Pin Part No.7,KSC-971C,1400,Nos.,KKC,,
Attachment Pin PT.No.8,KSC-971C,360,Nos.,KKC,,
Swivel attachment Part No.4,KSC-971C,150,Nos.,KKC,,
"Bagasse Carrier Chain with Swivel attachment as per Drawing No. Pitch 6"" assembled in 4Ft. L",KSC-971C,400,Feet,KKC,,
(Return Bagasse Carrier Slat Drawing No.),KSC-1149A,50,Nos.,KKC,,
,,,,,,
Sathamangalam Sugar unit,,,,,,
,,,,,,
Pin for Auxiliary Cane Carrier Chain,KSCL-MH-196,750,Nos.,KSS,,
Bush for Auxiliary Cane Carrier Chain,KSCL-MH-196,750,Nos.,KSS,,
Roller for Auxillary Cane Carrier Chain ,KSCL-MH-196,750,Nos.,KSS,,
Auxiliary Cane Carrier Slat,KSCL-MH-030,10,Nos.,KSS,,
Pin for Cane Carrier Chain ,KSCL-MH-028/8,2750,Nos.,KSS,,
Bush for Cane Carrier Chain ,KSCL-MH-028-B,2750,Nos.,KSS,,
Roller for Cane Carrier Chain,KSCL-MH-028-B,2750,Nos.,KSS,,
Inner Link for Cane Carrier Chain ,KSCL-MH-028-B,1400,Nos.,KSS,,
Cane Carrier Slat ,KSCL-MH-071,300,Nos.,KSS,,
Inner Link 1 for Feeder Table,KSCL-MH-207,950,Nos.,KSS,,
Inner 2 for Feeder Table Chain,KSCL-MH-207,950,Nos.,KSS,,
Outer Link 1 Feeder table chain ,KSCL-MH-207,600,Nos.,KSS,,
Outer Link 2 Feeder table Chain,KSCL-MH-207,600,Nos.,KSS,,
Pin for Feeder Table Chain ,KSCL-MH-128,2000,Nos.,KSS,,
Bush for Feeder table chain,KSCL-MH-128,2000,Nos.,KSS,,
Roller for Feeder Table Chain,KSCL-MH-128,2000,Nos.,KSS,,
Inter Rack Carrier Chain 229 mm pitch forged stlle,KSCL-MH-014-Rev-02,160,Mtrs.,KSS,,
Inner Link for Bagasse Elevator Chain ,KSCL-MH-058,600,Nos.,KSS,,
MH Bagasse Elevator Slat ,KSCL-MH-023,64,Nos.,KSS,,
,,,,,,
Sathamangalam Co-Gen unit,,,,,,
,,,,,,
Cotter Pin for Boiler Slat conveyor Chain,KSCL-BLR-206/A Rev. 02,350,Nos.,KSC,,
Bush for Boiler Slat Conveyor Chain,KSCL-BLR-206/A Rev. 02,1100,Nos.,KSC,,
Roller for Boiler Slat Conveyor Chain,KSCL-BLR-206/A Rev. 02,1100,Nos.,KSC,,
Connection Pin for Boiler Slat Conveyor Chain,KSCL-BLR-206/A Rev. 02,1100,Nos.,KSC,,
Inner Link for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,400,Nos.,KSC,,
Outer Link No.01 for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,250,Nos.,KSC,,
Outer Link No.02 for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,250,Nos.,KSC,,
Outer Link No.03 for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,200,Nos.,KSC,,
,,,,,,
,Sub Total,,,,,
,,,,,,
,Add: P & F charges,,,,,
,,,,,,
,Basic Total,,,,,
,,,,,,
,Add: 18% GST,,,,,
,,,,,,
,Net Total,,,,,
,,,,,,
,Freight,,,,,
,,,,,,
,Payment,,,,,
,,,,,,
,Delivery,,,,,
