Description,Drawing No.,Qty,UOM,Unit,Raj Amar Sugar,Unnamed: 6
,,,,,Rate,Amount
Kattur Sugar unit,,,,,,
,,,,,,
"Cane Carrier Chain 6"" Pitch",KSC-03-004A,975.0,Feet,KKS,1690,1647750
Cane Carrier Slats ,KSC-03-005A,200.0,Nos.,KKS,1860,372000
Roller design Chain,KSC-05-022A,175.0,Feet,KKS,2325,406875
Inter Carrier Slats ,KSC-06-073,100.0,Nos.,KKS,850,85000
"Inter Carrier Chain 2.97"" pitch",KSC-06-074,100.0,Feet,KKS,1350,135000
Rake Carrier Chain 150 mm pitch,KSC-06-081,200.0,Feet,KKS,2010,402000
,,,,,,
Kattur Co-Gen unit,,,,,,
,,,,,,
Inter Chain Link Part No.1,KSC-971C,150.0,Nos.,KKC,124,18600
Bush Part No.5,KSC-971C,1500.0,Nos.,KKC,74,111000
Roller for RBC Chain,KSC-971C,150.0,Nos.,KKC,160,24000
Outer Chain Link 10 mm Thk. Part No.2,KSC-971C,720.0,Nos.,KKC,124,89280
Outer Chain Link with attachment P.No.3A,KSC-971C,360.0,Nos.,KKC,188,67680
Outer Chain Link without attachment P.No.3B,KSC-971C,360.0,Nos.,KKC,124,44640
Bagasse Carrier Pin Part No.7,KSC-971C,1400.0,Nos.,KKC,95,133000
Attachment Pin PT.No.8,KSC-971C,360.0,Nos.,KKC,45,16200
Swivel attachment Part No.4,KSC-971C,150.0,Nos.,KKC,250,37500
"Bagasse Carrier Chain with Swivel attachment as per Drawing No.KSC-971C Pitch 6"" assembled in 4 Ft. L",,400.0,Feet,KKC,1340,536000
(Return Bagasse Carrier Slat Drawing No.KSC-1149A),KSC-1149A,50.0,Nos.,KKC,1600,80000
,,,,,,
Sathamangalam Sugar unit,,,,,,
,,,,,,
Pin for Auxiliary Cane Carrier Chain,KSCL-MH-196,750.0,Nos.,KSS,180,135000
Bush for Auxiliary Cane Carrier Chain,KSCL-MH-196,750.0,Nos.,KSS,113,84750
Roller for Auxillary Cane Carrier Chain ,KSCL-MH-196,750.0,Nos.,KSS,227,170250
Auxiliary Cane Carrier Slat,KSCL-MH-030,10.0,Nos.,KSS,7600,76000
Pin for Cane Carrier Chain ,KSCL-MH-028/8,2750.0,Nos.,KSS,96,264000
Bush for Cane Carrier Chain ,KSCL-MH-028-B,2750.0,Nos.,KSS,78,214500
Roller for Cane Carrier Chain,KSCL-MH-028-B,2750.0,Nos.,KSS,190,522500
Inner Link for Cane Carrier Chain ,KSCL-MH-028-B,1400.0,Nos.,KSS,298,417200
Cane Carrier Slat ,KSCL-MH-071,300.0,Nos.,KSS,2000,600000
Inner Link 1 for Feeder Table,KSCL-MH-207,950.0,Nos.,KSS,200,190000
Inner 2 for Feeder Table Chain,KSCL-MH-207,950.0,Nos.,KSS,200,190000
Outer Link 1 Feeder table chain ,KSCL-MH-207,600.0,Nos.,KSS,200,120000
Outer Link 2 Feeder table Chain,KSCL-MH-207,600.0,Nos.,KSS,365,219000
Pin for Feeder Table Chain ,KSCL-MH-128,2000.0,Nos.,KSS,96,192000
Bush for Feeder table chain,KSCL-MH-128,2000.0,Nos.,KSS,78,156000
Roller for Feeder Table Chain,KSCL-MH-128,2000.0,Nos.,KSS,190,380000
Inter Rack Carrier Chain 229 mm pitch forged stlle,KSCL-MH-014-Rev-02,160.0,Mtrs.,KSS,5925,948000
Inner Link for Bagasse Elevator Chain ,KSCL-MH-058,600.0,Nos.,KSS,196,117600
MH Bagasse Elevator Slat ,KSCL-MH-023,64.0,Nos.,KSS,3050,195200
,,,,,,
Sathamangalam Co-Gen unit,,,,,,
,,,,,,
Cotter Pin for Boiler Slat conveyor Chain,KSCL-BLR-206/A Rev. 02,350.0,Nos.,KSC,40,14000
Bush for Boiler Slat Conveyor Chain,KSCL-BLR-206/A Rev. 02,1100.0,Nos.,KSC,55,60500
Roller for Boiler Slat Conveyor Chain,KSCL-BLR-206/A Rev. 02,1100.0,Nos.,KSC,170,187000
Connection Pin for Boiler Slat Conveyor Chain,KSCL-BLR-206/A Rev. 02,1100.0,Nos.,KSC,72,79200
Inner Link for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,400.0,Nos.,KSC,196,78400
Outer Link No.01 for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,250.0,Nos.,KSC,196,49000
Outer Link No.02 for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,250.0,Nos.,KSC,196,49000
Outer Link No.03 for Boiler Slat Conveyor Chain,KSCL-BLR-205-Rev.0,200.0,Nos.,KSC,314,62800
,,,,,,
,Sub Total,,,,,
,,,,,,
,Add: P & F charges,,,,Nil,0
,,,,,,
,Basic Total,,,,,
,,,,,,
,Add: 18% GST,,,,,
,,,,,,
,Net Total,,,,,
,,,,,,
,Freight,,,,Supplier scope,
,,,,,,
,Payment,,,,30% advance & balance P.I,
,,,,,,
,Delivery,,,,14-16 weeks,
